DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2013-02-08,Golden State Warriors,93,Memphis Grizzlies,99,True,Memphis Grizzlies,0.625,0.6122448979591837,0.4,0.6
2013-02-08,Los Angeles Clippers,89,Miami Heat,111,True,Miami Heat,0.6956521739130435,0.6862745098039216,0.8,0.4
2013-02-08,New York Knicks,100,Minnesota Timberwolves,94,False,New York Knicks,0.391304347826087,0.6595744680851063,0.2,0.8
2013-02-08,Phoenix Suns,96,Oklahoma City Thunder,127,True,Oklahoma City Thunder,0.7551020408163265,0.34,0.6,0.4
2013-02-08,Chicago Bulls,93,Utah Jazz,89,False,Chicago Bulls,0.56,0.5918367346938775,0.8,0.4
2013-02-09,Denver Nuggets,111,Cleveland Cavaliers,103,False,Denver Nuggets,0.32,0.64,0.6,1.0
2013-02-09,Charlotte Hornets,76,Philadelphia 76ers,87,True,Philadelphia 76ers,0.4375,0.22448979591836735,0.6,0.0
2013-02-09,Golden State Warriors,91,Dallas Mavericks,116,True,Dallas Mavericks,0.42857142857142855,0.6,0.4,0.4
2013-02-09,Detroit Pistons,105,Milwaukee Bucks,100,False,Detroit Pistons,0.5208333333333334,0.37254901960784315,0.2,0.4
2013-02-09,Utah Jazz,109,Sacramento Kings,120,True,Sacramento Kings,0.34,0.5490196078431373,0.2,0.6
2013-02-10,Los Angeles Clippers,102,New York Knicks,88,False,Los Angeles Clippers,0.6666666666666666,0.6730769230769231,0.8,0.2
2013-02-10,Los Angeles Lakers,97,Miami Heat,107,True,Miami Heat,0.7021276595744681,0.47058823529411764,0.8,0.8
2013-02-10,Denver Nuggets,114,Boston Celtics,118,True,Boston Celtics,0.5306122448979592,0.6470588235294118,1.0,1.0
2013-02-10,Minnesota Timberwolves,88,Memphis Grizzlies,105,True,Memphis Grizzlies,0.6326530612244898,0.3829787234042553,0.4,0.2
2013-02-10,Portland Trail Blazers,104,Orlando Magic,110,True,Orlando Magic,0.28,0.5,0.0,0.4
2013-02-10,New Orleans Pelicans,89,Toronto Raptors,102,True,Toronto Raptors,0.36,0.34,0.4,0.4
2013-02-10,San Antonio Spurs,111,Brooklyn Nets,86,False,San Antonio Spurs,0.58,0.7647058823529411,0.4,0.8
2013-02-10,Oklahoma City Thunder,97,Phoenix Suns,69,False,Oklahoma City Thunder,0.3333333333333333,0.76,0.2,0.8
2013-02-10,Houston Rockets,111,Sacramento Kings,117,True,Sacramento Kings,0.35294117647058826,0.5384615384615384,0.2,0.6
2013-02-11,Boston Celtics,91,Charlotte Hornets,94,True,Charlotte Hornets,0.22,0.54,0.0,1.0
2013-02-11,Minnesota Timberwolves,100,Cleveland Cavaliers,92,False,Minnesota Timberwolves,0.3137254901960784,0.375,0.6,0.2
2013-02-11,Brooklyn Nets,89,Indiana Pacers,84,False,Brooklyn Nets,0.6078431372549019,0.5686274509803921,0.8,0.4
2013-02-11,Los Angeles Clippers,107,Philadelphia 76ers,90,False,Los Angeles Clippers,0.4489795918367347,0.6792452830188679,0.8,0.4
2013-02-11,New Orleans Pelicans,105,Detroit Pistons,86,False,New Orleans Pelicans,0.38461538461538464,0.3333333333333333,0.4,0.4
2013-02-11,San Antonio Spurs,103,Chicago Bulls,89,False,San Antonio Spurs,0.6,0.7692307692307693,0.4,0.8
2013-02-11,Washington Wizards,102,Milwaukee Bucks,90,False,Washington Wizards,0.5102040816326531,0.2857142857142857,0.2,0.6
2013-02-11,Atlanta Hawks,105,Dallas Mavericks,101,False,Atlanta Hawks,0.44,0.5510204081632653,0.6,0.4
2013-02-12,Denver Nuggets,108,Toronto Raptors,109,True,Toronto Raptors,0.37254901960784315,0.6346153846153846,0.6,0.8
2013-02-12,Portland Trail Blazers,104,Miami Heat,117,True,Miami Heat,0.7083333333333334,0.49019607843137253,1.0,0.4
2013-02-12,Sacramento Kings,101,Memphis Grizzlies,108,True,Memphis Grizzlies,0.64,0.36538461538461536,0.6,0.4
2013-02-12,Oklahoma City Thunder,94,Utah Jazz,109,True,Utah Jazz,0.5384615384615384,0.7647058823529411,0.4,0.8
2013-02-12,Houston Rockets,116,Golden State Warriors,107,False,Houston Rockets,0.5882352941176471,0.5283018867924528,0.2,0.6
2013-02-12,Phoenix Suns,85,Los Angeles Lakers,91,True,Los Angeles Lakers,0.46153846153846156,0.3269230769230769,0.6,0.2
