TEAM,PLAYER,AGE,MP,VORP
Portland Trail Blazers,Pat Connaughton,23,4.2,-0.2
Portland Trail Blazers,Allen Crabbe,23,26.0,0.5
Portland Trail Blazers,Ed Davis,26,20.8,1.6
Portland Trail Blazers,Maurice Harkless,22,18.7,0.5
Portland Trail Blazers,Gerald Henderson,28,19.9,0.1
Portland Trail Blazers,Chris Kaman,33,7.0,0.0
Portland Trail Blazers,Meyers Leonard,23,21.9,0.1
Portland Trail Blazers,Damian Lillard,25,35.7,4.3
Portland Trail Blazers,CJ McCollum,24,34.8,2.3
Portland Trail Blazers,Luis Montero,22,3.5,-0.1
Portland Trail Blazers,Mason Plumlee,25,25.4,1.9
Portland Trail Blazers,Noah Vonleh,20,15.1,-0.6
Sacramento Kings,Quincy Acy,25,14.8,0.4
Sacramento Kings,James Anderson,26,14.1,-0.5
Sacramento Kings,Marco Belinelli,29,24.6,-0.8
Sacramento Kings,Caron Butler,35,10.4,0.0
Sacramento Kings,Omri Casspi,27,27.2,1.0
Sacramento Kings,Willie Cauley-Stein,22,21.4,0.4
Sacramento Kings,Darren Collison,28,30.0,1.2
Sacramento Kings,DeMarcus Cousins,25,34.6,3.0
Sacramento Kings,Seth Curry,25,15.7,0.3
Sacramento Kings,Duje Dukan,24,24.0,0.0
Sacramento Kings,Rudy Gay,29,34.0,1.0
Sacramento Kings,Kosta Koufos,26,19.0,0.0
Sacramento Kings,Ben McLemore,22,21.2,-0.7
Sacramento Kings,Eric Moreland,24,6.0,0.0
Sacramento Kings,Rajon Rondo,29,35.2,1.9
San Antonio Spurs,LaMarcus Aldridge,30,30.6,2.5
San Antonio Spurs,Kyle Anderson,22,16.0,1.1
San Antonio Spurs,Matt Bonner,35,6.9,0.2
San Antonio Spurs,Rasual Butler,36,9.4,0.5
San Antonio Spurs,Boris Diaw,33,18.2,1.0
San Antonio Spurs,Tim Duncan,39,25.2,2.0
San Antonio Spurs,Manu Ginóbili,38,19.6,1.6
San Antonio Spurs,Danny Green,28,26.1,1.6
San Antonio Spurs,Kawhi Leonard,24,33.1,6.7
San Antonio Spurs,Boban Marjanović,27,9.4,0.8
San Antonio Spurs,Patty Mills,27,20.5,1.5
San Antonio Spurs,Tony Parker,33,27.5,1.2
San Antonio Spurs,Jonathon Simmons,26,14.8,-0.2
San Antonio Spurs,David West,35,18.0,1.7
Toronto Raptors,Anthony Bennett,22,4.4,0.0
Toronto Raptors,Bismack Biyombo,23,22.0,0.8
Toronto Raptors,Bruno Caboclo,20,7.2,-0.2
Toronto Raptors,DeMarre Carroll,29,30.2,0.5
Toronto Raptors,DeMar DeRozan,26,35.9,3.2
Toronto Raptors,James Johnson,28,16.2,0.2
Toronto Raptors,Cory Joseph,24,25.6,0.4
Toronto Raptors,Kyle Lowry,29,37.0,5.7
Toronto Raptors,Lucas Nogueira,23,7.8,0.1
Toronto Raptors,Patrick Patterson,26,25.6,1.0
Toronto Raptors,Norman Powell,22,14.8,0.3
Toronto Raptors,Terrence Ross,24,23.9,1.0
Toronto Raptors,Luis Scola,35,21.5,0.4
Toronto Raptors,Jonas Valančiūnas,23,26.0,1.4
Toronto Raptors,Delon Wright,23,8.5,0.2
Utah Jazz,Trevor Booker,28,20.7,0.8
Utah Jazz,Trey Burke,23,21.3,0.5
Utah Jazz,Alec Burks,24,25.7,0.3
Utah Jazz,Derrick Favors,24,32.0,2.6
Utah Jazz,Rudy Gobert,23,31.7,2.0
Utah Jazz,Gordon Hayward,25,36.2,3.3
Utah Jazz,Rodney Hood,23,32.2,1.7
Utah Jazz,Joe Ingles,28,15.3,0.7
Utah Jazz,Chris Johnson,25,12.2,0.0
Utah Jazz,Trey Lyles,20,17.3,0.1
Utah Jazz,Elijah Millsap,28,8.7,-0.1
Utah Jazz,Raul Neto,23,18.5,0.0
Utah Jazz,J.J. O'Brien,23,3.0,0.0
Utah Jazz,Tibor Pleiß,26,6.8,-0.2
Utah Jazz,Jeff Withey,25,12.9,0.5
Washington Wizards,Alan Anderson,33,14.8,0.0
Washington Wizards,Bradley Beal,22,31.1,1.0
Washington Wizards,DeJuan Blair,26,7.5,-0.4
Washington Wizards,Jared Dudley,30,25.9,1.0
Washington Wizards,Jarell Eddie,24,5.7,0.0
Washington Wizards,Drew Gooden,34,10.2,-0.3
Washington Wizards,Marcin Gortat,31,30.1,1.5
Washington Wizards,Gary Neal,31,20.2,0.1
Washington Wizards,Otto Porter,22,30.3,1.8
Washington Wizards,Ramon Sessions,29,20.3,0.7
Washington Wizards,Garrett Temple,29,24.4,0.0
Washington Wizards,John Wall,25,36.2,3.9
