TEAM,PLAYER,AGE,VORP
Phoenix Suns,Deandre Ayton,20,1.2
Phoenix Suns,Dragan Bender,21,-0.5
Phoenix Suns,Devin Booker,22,1.7
Phoenix Suns,Mikal Bridges,22,0.3
Phoenix Suns,Jamal Crawford,38,-0.6
Phoenix Suns,Troy Daniels,27,-0.3
Phoenix Suns,Jimmer Fredette,29,-0.2
Phoenix Suns,Richaun Holmes,25,0.8
Phoenix Suns,Josh Jackson,21,-1.3
Phoenix Suns,George King,25,0.0
Phoenix Suns,De'Anthony Melton,20,-0.2
Phoenix Suns,Eric Moreland,27,0.0
Phoenix Suns,Elie Okobo,21,-0.9
Phoenix Suns,T.J. Warren,25,0.6
Portland Trail Blazers,Al-Farouq Aminu,28,1.5
Portland Trail Blazers,Wade Baldwin,22,-0.2
Portland Trail Blazers,Zach Collins,21,0.3
Portland Trail Blazers,Seth Curry,28,0.3
Portland Trail Blazers,Maurice Harkless,25,1.0
Portland Trail Blazers,Skal Labissière,22,0.0
Portland Trail Blazers,Jake Layman,24,0.5
Portland Trail Blazers,Meyers Leonard,26,0.8
Portland Trail Blazers,Damian Lillard,28,6.0
Portland Trail Blazers,CJ McCollum,27,1.8
Portland Trail Blazers,Jusuf Nurkić,24,2.8
Portland Trail Blazers,Anfernee Simons,19,-0.1
Portland Trail Blazers,Caleb Swanigan,21,-0.2
Portland Trail Blazers,Evan Turner,30,0.3
Sacramento Kings,Marvin Bagley III,19,0.4
Sacramento Kings,Nemanja Bjelica,30,1.3
Sacramento Kings,Bogdan Bogdanović,26,0.7
Sacramento Kings,Willie Cauley-Stein,25,1.8
Sacramento Kings,Yogi Ferrell,25,0.2
Sacramento Kings,De'Aaron Fox,21,2.3
Sacramento Kings,Harry Giles,20,-0.2
Sacramento Kings,Buddy Hield,26,2.7
Sacramento Kings,Kosta Koufos,29,-0.2
Sacramento Kings,Frank Mason III,24,-0.1
Sacramento Kings,Ben McLemore,25,-0.1
Sacramento Kings,Troy Williams,24,0.0
San Antonio Spurs,LaMarcus Aldridge,33,2.6
San Antonio Spurs,Marco Belinelli,32,0.1
San Antonio Spurs,Donatas Motiejūnas,26,-0.1
San Antonio Spurs,Dante Cunningham,31,0.3
San Antonio Spurs,DeMar DeRozan,29,2.2
San Antonio Spurs,Drew Eubanks,21,0.0
San Antonio Spurs,Bryn Forbes,25,0.5
San Antonio Spurs,Rudy Gay,32,1.6
San Antonio Spurs,Chimezie Metu,21,-0.2
San Antonio Spurs,Patty Mills,30,0.8
San Antonio Spurs,Jakob Poeltl,23,1.3
San Antonio Spurs,Quincy Pondexter,30,0.1
San Antonio Spurs,Lonnie Walker,20,0.0
San Antonio Spurs,Derrick White,24,1.3
Toronto Raptors,OG Anunoby,21,-0.1
Toronto Raptors,Chris Boucher,26,0.2
Toronto Raptors,Lorenzo Brown,28,-0.1
Toronto Raptors,Danny Green,31,2.2
Toronto Raptors,Serge Ibaka,29,1.2
Toronto Raptors,Kawhi Leonard,27,4.7
Toronto Raptors,Kyle Lowry,32,2.4
Toronto Raptors,Jordan Loyd,25,0.0
Toronto Raptors,Jodie Meeks,31,0.1
Toronto Raptors,Malcolm Miller,25,0.0
Toronto Raptors,Norman Powell,25,0.4
Toronto Raptors,Malachi Richardson,23,-0.2
Toronto Raptors,Pascal Siakam,24,2.8
Toronto Raptors,Fred VanVleet,24,1.1
Utah Jazz,Grayson Allen,23,-0.5
Utah Jazz,Tony Bradley,21,0.0
Utah Jazz,Tyler Cavanaugh,24,-0.1
Utah Jazz,Jae Crowder,28,1.2
Utah Jazz,Dante Exum,23,0.0
Utah Jazz,Derrick Favors,27,2.4
Utah Jazz,Rudy Gobert,26,4.8
Utah Jazz,Joe Ingles,31,2.2
Utah Jazz,Donovan Mitchell,22,2.2
Utah Jazz,Naz Mitrou-Long,25,-0.1
Utah Jazz,Raul Neto,26,0.2
Utah Jazz,Georges Niang,25,0.3
